,data_file,sample_notes,AC Samples,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tetrahydroalstonine,Amt_ug_L_Tryptamine,Amt_ug_L_Tryptophan,Unnamed: 10,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tetrahydroalstonine,Amt_uM_Tryptamine,Amt_uM_Tryptophan
0,210330_TMET494_032.xms,96WP988_P1_B2,0_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8009.517,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,49.99074398,N.A.
1,210330_TMET494_033.xms,96WP988_P1_B3,0_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,5817.125,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,36.30710898,N.A.
2,210330_TMET494_034.xms,96WP988_P1_B4,0_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,6003.777,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,37.47208214,N.A.
3,210330_TMET494_035.xms,96WP988_P1_B5,1_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,6635.864,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,41.41720135,N.A.
4,210330_TMET494_036.xms,96WP988_P1_B6,1_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7046.096,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,43.97763076,N.A.
5,210330_TMET494_037.xms,96WP988_P1_B7,1_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7171.27,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,44.75889402,N.A.
6,210330_TMET494_038.xms,96WP988_P1_B8,2_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,5545.25,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,34.61022344,N.A.
7,210330_TMET494_039.xms,96WP988_P1_B9,2_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7208.26,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,44.98976407,N.A.
8,210330_TMET494_040.xms,96WP988_P1_B10,2_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7030.491,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,43.88023343,N.A.
9,210330_TMET494_041.xms,96WP988_P1_B11,3_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7312.277,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,45.63897766,N.A.
10,210330_TMET494_045.xms,96WP988_P1_C2,3_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7088.01,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,44.23923355,N.A.
11,210330_TMET494_046.xms,96WP988_P1_C3,3_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7015.456,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,43.78639371,N.A.
12,210330_TMET494_047.xms,96WP988_P1_C4,4_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,6607.413,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,41.23962676,N.A.
13,210330_TMET494_048.xms,96WP988_P1_C5,4_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7299.686,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,45.56039196,N.A.
14,210330_TMET494_049.xms,96WP988_P1_C6,4_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7717.788,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,48.16994133,N.A.
15,210330_TMET494_050.xms,96WP988_P1_C7,5_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7987.711,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,49.85464362,N.A.
16,210330_TMET494_051.xms,96WP988_P1_C8,5_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7022.617,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,43.8310885,N.A.
17,210330_TMET494_052.xms,96WP988_P1_C9,5_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8022.362,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,50.07091499,N.A.
